episode,reward,success,turn
530,0.6599999999999999,1,9
531,0.65,1,8
532,-1.95,0,11
533,0.84,1,6
534,0.86,1,8
535,1.04,1,5
536,1.05,1,6
537,0.86,1,8
538,-2.16,0,11
539,0.44999999999999996,1,9
540,0.85,1,7
541,1.05,1,6
542,0.85,1,7
543,1.04,1,5
544,1.05,1,6
545,0.64,1,7
546,0.8500000000000001,1,7
547,0.85,1,7
548,1.04,1,5
549,0.86,1,8
550,1.06,1,7
551,0.86,1,8
552,1.04,1,5
553,-1.74,0,11
554,1.06,1,7
555,1.05,1,6
556,1.06,1,7
557,1.05,1,6
558,0.85,1,7
559,-1.95,0,11
560,0.85,1,7
561,1.05,1,6
562,0.86,1,8
563,1.03,1,4
564,0.85,1,7
565,1.04,1,5
566,0.84,1,6
567,0.6599999999999999,1,9
568,1.05,1,6
569,0.44999999999999996,1,9
570,-2.16,0,11
571,1.03,1,4
572,0.64,1,7
573,1.05,1,6
574,1.04,1,5
575,1.05,1,6
576,1.02,1,3
577,1.05,1,6
578,0.83,1,5
579,1.05,1,6
580,1.06,1,7
581,1.04,1,5
582,1.05,1,6
583,0.86,1,8
584,-1.74,0,11
585,0.84,1,6
586,0.64,1,7
587,0.25,1,10
588,1.03,1,4
589,1.05,1,6
590,1.03,1,4
591,1.06,1,7
592,0.64,1,7
593,0.84,1,6
594,1.06,1,7
595,1.04,1,5
596,0.8600000000000001,1,8
597,-2.16,0,11
598,1.05,1,6
599,0.8500000000000001,1,7
600,1.06,1,7
601,1.04,1,5
602,0.6599999999999999,1,9
603,1.05,1,6
604,0.84,1,6
605,1.05,1,6
606,-1.74,0,11
607,1.04,1,5
608,0.6499999999999999,1,8
609,0.84,1,6
610,-1.95,0,11
611,1.05,1,6
612,0.85,1,7
613,1.06,1,7
614,1.05,1,6
615,1.04,1,5
616,0.45999999999999996,1,10
617,1.06,1,7
618,0.84,1,6
619,1.05,1,6
620,0.65,1,8
621,1.06,1,7
622,1.04,1,5
623,0.86,1,8
624,0.8500000000000001,1,7
625,0.86,1,8
626,-2.16,0,11
627,1.05,1,6
628,1.06,1,7
629,0.86,1,8
630,0.84,1,6
631,0.64,1,7
632,0.45999999999999996,1,10
633,1.05,1,6
634,0.65,1,8
635,0.8600000000000001,1,8
636,1.05,1,6
637,1.04,1,5
638,1.06,1,7
639,1.05,1,6
640,1.05,1,6
641,0.86,1,8
642,1.05,1,6
643,1.04,1,5
644,1.06,1,7
645,1.05,1,6
646,0.6599999999999999,1,9
647,0.85,1,7
648,1.05,1,6
649,0.86,1,8
650,0.86,1,8
651,1.05,1,6
652,1.04,1,5
653,1.04,1,5
654,-1.74,0,11
655,1.05,1,6
656,1.03,1,4
657,1.06,1,7
658,0.86,1,8
659,0.25,1,10
660,1.03,1,4
661,-1.74,0,11
662,1.05,1,6
663,1.03,1,4
664,1.04,1,5
665,1.04,1,5
666,1.03,1,4
667,1.05,1,6
668,1.06,1,7
669,1.04,1,5
670,1.05,1,6
671,-1.74,0,11
672,1.06,1,7
673,1.05,1,6
674,1.05,1,6
675,1.06,1,7
676,0.65,1,8
677,1.06,1,7
678,1.06,1,7
679,1.05,1,6
680,1.06,1,7
681,1.06,1,7
682,1.06,1,7
683,1.06,1,7
684,0.45999999999999996,1,10
685,1.05,1,6
686,1.05,1,6
687,-1.74,0,11
688,1.06,1,7
689,1.04,1,5
690,1.06,1,7
691,1.03,1,4
692,1.05,1,6
693,1.04,1,5
694,0.84,1,6
695,0.84,1,6
696,1.03,1,4
697,1.06,1,7
698,0.86,1,8
699,1.06,1,7
700,1.05,1,6
701,-1.74,0,11
702,1.04,1,5
703,1.06,1,7
704,1.06,1,7
705,0.86,1,8
706,0.65,1,8
707,-1.74,0,11
708,1.06,1,7
709,1.06,1,7
710,1.03,1,4
711,0.86,1,8
712,1.04,1,5
713,-1.74,0,11
714,1.06,1,7
715,1.06,1,7
716,1.05,1,6
717,1.06,1,7
718,1.06,1,7
719,1.06,1,7
720,1.05,1,6
721,-1.74,0,11
722,1.05,1,6
723,1.05,1,6
724,1.05,1,6
725,1.05,1,6
726,1.03,1,4
727,0.86,1,8
728,1.06,1,7
729,0.84,1,6
730,1.06,1,7
731,0.84,1,6
732,0.8600000000000001,1,8
733,0.64,1,7
734,1.05,1,6
735,1.05,1,6
736,0.83,1,5
737,1.05,1,6
738,1.06,1,7
739,1.06,1,7
740,1.06,1,7
741,0.66,1,9
742,1.05,1,6
743,1.06,1,7
744,1.05,1,6
745,1.03,1,4
746,1.06,1,7
747,1.06,1,7
748,1.05,1,6
749,1.04,1,5
750,1.05,1,6
751,0.6499999999999999,1,8
752,1.06,1,7
753,0.85,1,7
754,1.06,1,7
755,1.06,1,7
756,1.06,1,7
757,1.05,1,6
758,1.06,1,7
759,1.06,1,7
760,1.06,1,7
761,1.06,1,7
762,0.86,1,8
763,0.86,1,8
764,-1.74,0,11
765,0.86,1,8
766,1.06,1,7
767,0.84,1,6
768,1.04,1,5
769,1.05,1,6
770,1.05,1,6
771,0.65,1,8
772,1.06,1,7
773,-1.74,0,11
774,1.05,1,6
775,1.05,1,6
776,0.6599999999999999,1,9
777,1.04,1,5
